id_interaction,id_cp_interaction,multidata_1_id,multidata_2_id,source,annotation_strategy,is_ppi,curator,directionality,classification
0,CPI-SC0F3DD55CC,156,1905,CellChatDB_v1,user_curated,,NigelHo,,
1,CPI-SC08BA79EC7,681,1905,CellChatDB_v1,user_curated,,NigelHo,,
2,CPI-SC0EF60EAB8,306,1905,CellChatDB_v1,user_curated,,NigelHo,,
3,CPI-SC07BF4D8B0,156,1772,CellChatDB_v1,user_curated,,NigelHo,,
4,CPI-SC03077D1F9,681,1772,CellChatDB_v1,user_curated,,NigelHo,,
5,CPI-SC04FE06D21,306,1772,CellChatDB_v1,user_curated,,NigelHo,,
6,CPI-SC0F65D7AA1,156,1777,CellChatDB_v1,user_curated,,NigelHo,,
7,CPI-SC0862DAA1C,681,1777,CellChatDB_v1,user_curated,,NigelHo,,
8,CPI-SC0CFAF7014,306,1777,CellChatDB_v1,user_curated,,NigelHo,,
9,CPI-SC0757DD8F2,156,1766,CellChatDB_v1,user_curated,,NigelHo,,
10,CPI-SC09A211402,681,1766,CellChatDB_v1,user_curated,,NigelHo,,
11,CPI-SC039946799,306,1766,CellChatDB_v1,user_curated,,NigelHo,,
12,CPI-SC07833B8D7,327,1782,CellChatDB_v1,user_curated,,NigelHo,,
13,CPI-SC0ED574179,328,1782,CellChatDB_v1,user_curated,,NigelHo,,
14,CPI-SC06ECC8614,583,1782,CellChatDB_v1,user_curated,,NigelHo,,
15,CPI-SC094BDB019,819,1782,CellChatDB_v1,user_curated,,NigelHo,,
16,CPI-SC03468DA5B,840,1782,CellChatDB_v1,user_curated,,NigelHo,,
17,CPI-SC0842C2DD5,430,1782,CellChatDB_v1,user_curated,,NigelHo,,
18,CPI-SC0D95B5742,431,1782,CellChatDB_v1,user_curated,,NigelHo,,
19,CPI-SC0DEDDD149,383,1782,CellChatDB_v1,user_curated,,NigelHo,,
20,CPI-SC0C4AD1D66,841,1782,CellChatDB_v1,user_curated,,NigelHo,,
21,CPI-SC0AB916803,1375,1782,CellChatDB_v1,user_curated,,NigelHo,,
