id_multidata,name,receptor,receptor_desc,other,other_desc,secreted_highlight,secreted_desc,transmembrane,secreted,peripheral,integrin,is_complex
0,P03372,True,,False,,False,,False,False,True,False,False
1,Q92753,True,,False,,False,,False,False,False,False,False
2,O95477,False,,False,,False,,True,False,False,False,False
3,Q13133,True,,False,,False,,False,False,False,False,False
4,P04150,True,,False,,False,,False,False,False,False,False
5,Q7Z5A7,False,,False,,True,,False,True,False,False,False
6,Q9UNN8,True,,False,,False,,False,False,False,False,False
7,Q96LR4,False,,False,,True,,False,True,False,False,False
8,O60883,True,,False,,False,,True,False,False,False,False
9,Q96RI1,True,,False,,False,,False,False,False,False,False
10,P30533,False,,False,,False,,False,False,False,False,False
11,O75787,True,,False,,False,,True,False,False,False,False
12,P10275,True,,False,,False,,False,False,False,False,False
13,Q96CM4,False,,False,,False,,False,False,False,False,False
14,P55055,True,,False,,False,,False,False,False,False,False
15,P35398,True,,False,,False,,False,False,False,False,False
16,P10827,True,,False,,False,,False,False,False,False,False
17,P51449,True,,False,,False,,False,False,False,False,False
18,Q6UWK7,False,,False,,True,,False,True,False,False,False
19,P35442,False,,False,,False,,False,False,False,False,False
20,P02794,False,,False,,False,,False,False,False,False,False
21,P08235,True,,False,,False,,False,False,False,False,False
22,P37231,True,,False,,False,,False,False,False,False,False
23,P06401,False,,False,,False,,False,False,False,False,False
24,P10828,False,,False,,False,,False,False,False,False,False
25,P02792,False,,False,,False,,False,False,False,False,False
26,Q03181,False,,False,,False,,False,False,False,False,False
27,O75469,True,,False,,False,,False,False,False,False,False
28,Q92731,True,,False,,False,,False,False,False,False,False
29,Q7Z5A9,False,,False,,True,,False,True,False,False,False
30,P11473,True,,False,,False,,False,False,False,False,False
31,Q07869,True,,False,,False,,False,False,False,False,False
32,A5X5Y0,True,,False,,False,,True,False,False,False,False
33,A6NMZ7,False,,False,,False,,False,True,False,False,False
34,A8TX70,False,,False,,False,,False,True,False,False,False
35,D3W0D1,True,KLR_add,False,,False,,True,False,False,False,False
36,HLAA,True,HLA,False,,False,,True,False,False,False,False
37,HLAB,True,HLA,False,,False,,True,False,False,False,False
38,HLAC,True,HLA,False,,False,,True,False,False,False,False
39,O00144,True,,False,,False,,True,False,False,False,False
40,O00175,False,,False,,True,Cytokine,False,True,False,False,False
41,O00182,False,,False,,True,Immune-related,False,True,False,False,False
42,O00220,True,TNF_receptor_add,False,,False,,True,False,False,False,False
43,O00230,False,,False,,True,Hormone,False,True,False,False,False
44,O00238,True,TGFBeta_receptor_add,False,,False,,True,False,False,False,False
45,O00241,True,,False,,False,,True,False,False,False,False
46,O00253,False,,False,,False,,False,True,False,False,False
47,O00292,False,,False,,True,Growthfactor | Cytokine,False,True,False,False,False
48,O00294,False,,False,,False,,False,True,True,False,False
49,O00300,False,,False,,False,,False,True,False,False,False
50,O00421,True,Atipical_chemokine_receptor_add,False,,False,,True,False,False,False,False
51,O00451,True,,False,,False,,True,False,False,False,False
52,O00468,False,,False,,False,,True,True,False,False,False
53,O00548,False,,False,,False,,True,False,False,False,False
54,O00574,True,Chemokine_receptor CXCR_add,False,,False,,True,False,False,False,False
55,O00584,False,,False,,False,,False,True,False,False,False
56,O00585,False,,False,,True,Cytokine,False,True,False,False,False
57,O00590,True,Atipical_chemokine_receptor_add,False,,False,,True,False,False,False,False
58,O00592,False,,False,,False,,True,False,False,False,False
59,O00626,False,,False,,True,Cytokine,False,True,False,False,False
60,O00755,False,,False,,True,CellSignal_WNT,False,True,False,False,False
61,O14511,False,,False,,True,Growthfactor,True,True,False,False,False
62,O14625,False,,False,,True,Cytokine,False,True,False,False,False
63,O14763,True,TNF_receptor_add,False,,False,,True,False,False,False,False
64,O14786,True,,False,,True,Growthfactor,True,True,False,False,False
65,O14788,True,,False,,True,Cytokine,True,True,False,False,False
66,O14793,False,,False,,True,Growthfactor | Cytokine,False,True,False,False,False
67,O14798,True,TNF_receptor_add,False,,False,,True,False,False,False,False
68,O14836,True,TNF_receptor_add,False,,False,,True,False,False,False,False
69,O14904,False,,False,,False,,False,True,False,False,False
70,O14905,False,,False,,False,,False,True,False,False,False
71,O14931,True,,False,,False,,True,False,False,False,False
72,O14944,False,,False,,True,Growthfactor,True,True,False,False,False
73,O15031,True,,False,,False,,True,False,False,False,False
74,O15041,False,,False,,False,,False,True,False,False,False
75,O15123,False,,False,,False,,False,True,False,False,False
76,O15146,True,,False,,False,,True,False,False,False,False
77,O15354,True,,False,,False,,True,False,False,False,False
78,O15444,False,,False,,True,Cytokine,False,True,False,False,False
79,O15467,False,,False,,True,Cytokine,False,True,False,False,False
80,O15520,False,,False,,True,Growthfactor,False,True,False,False,False
81,O43157,True,,False,,False,,True,True,False,False,False
82,O43193,True,,False,,False,,True,False,False,False,False
83,O43323,False,,False,,False,,True,True,False,False,False
84,O43508,False,,False,,True,Cytokine,True,True,False,False,False
85,O43555,False,,False,,True,Hormone,False,True,False,False,False
86,O43557,False,,False,,True,Cytokine,True,True,False,False,False
87,O43603,True,,False,,False,,True,False,False,False,False
88,O43612,False,,False,,False,,False,True,False,False,False
89,O43613,True,,False,,False,,True,False,False,False,False
90,O43614,True,,False,,False,,True,False,False,False,False
91,O43914,False,,False,,False,,True,False,False,False,False
92,O43915,False,,False,,True,Growthfactor,False,True,False,False,False
93,O43921,False,,False,,False,,True,False,False,False,False
94,O43927,False,,False,,True,Cytokine,False,True,False,False,False
95,O60258,False,,False,,True,Growthfactor,False,True,False,False,False
96,O60353,True,,False,,False,,True,False,False,False,False
97,O60383,False,,False,,True,Growthfactor | Cytokine,False,True,False,False,False
98,O60462,True,,False,,False,Growthfactor,True,True,False,False,False
99,O60469,False,,False,,False,,True,True,False,False,False
100,O60486,True,,False,,False,,True,False,False,False,False
101,O60494,True,,False,,False,,True,False,False,False,False
102,O60542,False,,False,,True,Growthfactor,False,True,False,False,False
103,O60609,True,,False,,False,,True,False,False,False,False
104,O60755,True,,False,,False,,True,False,False,False,False
105,O60894,True,,False,,False,,True,False,False,False,False
